
trip_id,START_STATION_ID,START_STATION_NAME,START_STATION_LANDMARK,END_STATION_ID,END_STATION_NAME,END_STATION_LANDMARK
620840,62,2nd at Folsom,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
1300164,62,2nd at Folsom,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
997309,62,2nd at Folsom,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
1109823,62,2nd at Folsom,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
902807,62,2nd at Folsom,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
638235,62,2nd at Folsom,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
1216694,62,2nd at Folsom,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
738994,62,2nd at Folsom,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
90352,62,2nd at Folsom,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
720457,62,2nd at Folsom,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
873356,62,2nd at Folsom,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
994287,62,2nd at Folsom,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
467941,62,2nd at Folsom,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
830457,62,2nd at Folsom,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
616950,57,5th at Howard,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
4950,57,5th at Howard,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
593562,57,5th at Howard,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
874336,57,5th at Howard,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
376825,57,5th at Howard,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
128733,57,5th at Howard,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
895907,57,5th at Howard,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
150006,63,Howard at 2nd,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
828709,63,Howard at 2nd,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
364926,63,Howard at 2nd,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
939326,63,Howard at 2nd,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
1050125,63,Howard at 2nd,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
961287,63,Howard at 2nd,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
926245,63,Howard at 2nd,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
353762,63,Howard at 2nd,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
375089,63,Howard at 2nd,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
687720,63,Howard at 2nd,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
832598,76,Market at 4th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
515965,76,Market at 4th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
247775,76,Market at 4th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
554291,76,Market at 4th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
23499,76,Market at 4th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
254824,76,Market at 4th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
1295547,76,Market at 4th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
93672,76,Market at 4th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
980675,76,Market at 4th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
262517,76,Market at 4th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
57653,76,Market at 4th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
960808,76,Market at 4th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
824219,76,Market at 4th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
62469,67,Market at 10th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
172663,67,Market at 10th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
55134,67,Market at 10th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
303096,67,Market at 10th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
918213,67,Market at 10th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
749573,67,Market at 10th,San Francisco,50,Harry Bridges Plaza (Ferry Building),San Francisco
